budget_year,budget_source_group_id,budget_source_group_th,type,camp_name_thai,fac_name_thai,sum_final_budget
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตสุราษฎร์ธานี,คณะวิทยาศาสตร์และเทคโนโลยีอุตสาหกรรม,1566794.0365000004
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตสุราษฎร์ธานี,คณะศิลปศาสตร์และวิทยาการจัดการ,411154.91650000005
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะการแพทย์แผนไทย,94696.965
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะทรัพยากรธรรมชาติ,702965.7159999999
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะพยาบาลศาสตร์,370241.6699999999
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะวิทยาการจัดการ,17499.999000000003
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะวิทยาศาสตร์,1371519.9030000002
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะวิศวกรรมศาสตร์,1354691.3560000001
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะศิลปศาสตร์,116666.67
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะอุตสาหกรรมเกษตร,2125812.2750000004
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะเภสัชศาสตร์,0.0
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะเศรษฐศาสตร์,33000.0
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,คณะแพทยศาสตร์,796166.6589999999
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,บัณฑิตวิทยาลัย,971003.9599999998
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,สถาบันการจัดการระบบสุขภาพภาคใต้ (สจรส.ม.อ.),5833.3330000000005
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,สถาบันสันติศึกษา,58333.335999999996
2563,1,เงินงบประมาณแผ่นดิน   ,ภายนอก,วิทยาเขตหาดใหญ่,สำนักวิจัยและพัฒนา,112173.04800000001
2563,2,เงินกองทุนวิจัยมหาวิทยาลัย   ,ภายใน,วิทยาเขตปัตตานี,คณะมนุษยศาสตร์และสังคมศาสตร์,12631.578000000001
2563,2,เงินกองทุนวิจัยมหาวิทยาลัย   ,ภายใน,วิทยาเขตปัตตานี,คณะรัฐศาสตร์,22105.261499999997
2563,2,เงินกองทุนวิจัยมหาวิทยาลัย   ,ภายใน,วิทยาเขตปัตตานี,คณะวิทยาศาสตร์และเทคโนโลยี,609286.933
2563,2,เงินกองทุนวิจัยมหาวิทยาลัย   ,ภายใน,วิทยาเขตสุราษฎร์ธานี,คณะวิทยาศาสตร์และเทคโนโลยีอุตสาหกรรม,1130938.33
2563,2,เงินกองทุนวิจัยมหาวิทยาลัย   ,ภายใน,วิทยาเขตสุราษฎร์ธานี,คณะศิลปศาสตร์และวิทยาการจัดการ,193788.0
